states,x,y
Andhra Pradesh,-110,-210
Arunachal Pradesh,259,122
Assam,238,76
Bihar,67,53
Chhattisgarh,-30,-70
Goa,-190,-200
Gujarat,-281,-41
Haryana,-155,140
Himachal Pradesh,-134,223
Jharkhand,0,0
Karnataka,-177,-225
Kerala,-150,-320
Madhya Pradesh,-164,-21
Maharashtra,-197,-106
Manipur,253,29
Meghalaya,176,51
Mizoram,253,-8
Nagaland,269,67
Odisha,31,-65
Punjab,-177,193
Rajasthan,-253,85
Sikkim,135,108
Tamil Nadu,-121,-304
Telangana,-104,-139
Tripura,179,3
Uttar Pradesh,-96,99
Uttarakhand,-102,168
West Bengal,98,-4
Delhi,-124,128